Customer_ID,Age,Annual_Income,Spending_Score,Store_Visits
Customer_1,56,21864,42,7
Customer_2,69,29498,99,10
Customer_3,46,59544,7,9
Customer_4,32,36399,16,16
Customer_5,60,57140,90,7
Customer_6,25,69554,60,9
Customer_7,38,53173,2,8
Customer_8,56,58955,1,14
Customer_9,36,36554,48,12
Customer_10,40,48320,12,8
Customer_11,28,72034,69,7
Customer_12,28,33141,37,5
Customer_13,41,64250,32,11
Customer_14,53,75897,9,4
Customer_15,57,56868,99,9
Customer_16,41,24735,19,8
Customer_17,20,54902,48,14
Customer_18,39,48783,80,10
Customer_19,19,57016,3,13
Customer_20,41,61041,20,18
Customer_21,61,38304,24,14
Customer_22,47,37341,54,9
Customer_23,55,47741,33,6
Customer_24,19,35516,24,9
Customer_25,38,52257,75,7
Customer_26,50,48298,72,4
Customer_27,29,89502,36,12
Customer_28,39,34623,38,15
Customer_29,61,38269,84,7
Customer_30,42,56359,99,7
Customer_31,66,63090,89,11
Customer_32,44,84308,99,11
Customer_33,59,74343,25,12
Customer_34,45,62355,93,11
Customer_35,33,54395,18,6
Customer_36,32,63449,82,5
Customer_37,64,40845,66,6
Customer_38,68,45257,54,8
Customer_39,61,27763,35,11
Customer_40,69,46567,80,7
Customer_41,20,64439,61,16
Customer_42,54,46854,41,10
Customer_43,68,38389,33,16
Customer_44,24,44603,68,11
Customer_45,38,60861,33,12
Customer_46,26,46163,14,6
Customer_47,56,62748,21,13
Customer_48,35,30330,48,13
Customer_49,21,36945,20,7
Customer_50,42,42400,8,7
Customer_51,31,30350,7,8
Customer_52,67,94154,67,9
Customer_53,26,33556,17,8
Customer_54,43,63723,33,10
Customer_55,19,40009,48,9
Customer_56,37,42293,76,11
Customer_57,45,54519,59,6
Customer_58,64,28122,86,11
Customer_59,24,40058,22,12
Customer_60,61,47802,30,7
Customer_61,25,37309,38,10
Customer_62,64,37662,51,9
Customer_63,52,66300,54,5
Customer_64,31,65074,8,9
Customer_65,34,43373,27,12
Customer_66,53,48737,27,10
Customer_67,67,68555,98,5
Customer_68,57,28602,21,10
Customer_69,21,55070,30,10
Customer_70,19,79618,97,14
Customer_71,23,79475,28,7
Customer_72,59,20901,64,15
Customer_73,21,38560,97,10
Customer_74,46,52529,69,14
Customer_75,35,30171,61,15
Customer_76,43,39976,48,8
Customer_77,61,47940,19,10
Customer_78,51,71019,4,12
Customer_79,27,49318,35,8
Customer_80,53,53254,64,7
Customer_81,31,57686,49,11
Customer_82,48,58152,17,12
Customer_83,65,50421,44,7
Customer_84,32,32043,92,10
Customer_85,25,61845,30,10
Customer_86,31,56472,93,10
Customer_87,40,33548,46,15
Customer_88,57,39765,6,12
Customer_89,38,63312,99,6
Customer_90,33,59082,37,12
Customer_91,62,39195,24,18
Customer_92,35,45950,93,9
Customer_93,64,47848,46,8
Customer_94,41,59255,53,11
Customer_95,43,68734,95,7
Customer_96,42,50984,99,9
Customer_97,62,67538,60,9
Customer_98,58,63099,97,8
Customer_99,46,53084,63,11
Customer_100,32,28347,85,6
